zcta5,white,black,api,native,multiple,hispanic
01863,0.8487,0.013,0.0973,0.0007,0.0157,0.0247
01864,0.941,0.0056,0.0267,0.0011,0.01,0.0155
01867,0.9319,0.0058,0.0382,0.0004,0.0094,0.0143
01876,0.93,0.0107,0.0274,0.0009,0.0103,0.0207
01879,0.9074,0.0104,0.047,0.0008,0.0109,0.0235
01880,0.9325,0.0085,0.0252,0.0009,0.0102,0.0227
01886,0.8406,0.0034,0.126,0.0005,0.0143,0.0152
01887,0.9243,0.0073,0.0378,0.0007,0.0118,0.0181
01890,0.8583,0.01,0.0937,0.0006,0.0185,0.019
01901,0.4917,0.2002,0.0172,0.0041,0.0261,0.2607
01902,0.3919,0.125,0.0693,0.0024,0.0242,0.3872
01904,0.7622,0.0543,0.0317,0.0009,0.0175,0.1333
01905,0.4247,0.1017,0.1007,0.0018,0.0227,0.3485
01906,0.9004,0.0198,0.0267,0.0011,0.0116,0.0404
01907,0.9312,0.0116,0.0195,0.0005,0.0112,0.026
01908,0.9565,0.0044,0.017,0.0009,0.0059,0.0153
01913,0.9528,0.0066,0.0069,0.0018,0.0127,0.0191
01915,0.9181,0.0148,0.0178,0.0011,0.0127,0.0355
01921,0.9517,0.004,0.0155,0.0003,0.0103,0.0182
01922,0.971,0.0023,0.0071,0.0023,0.0064,0.0109
01923,0.9386,0.0095,0.019,0.0009,0.0085,0.0235
01929,0.9626,0.0031,0.01,0.0,0.0111,0.0131
01930,0.9446,0.0069,0.0095,0.001,0.0106,0.0274
01937,0.9669,0.0199,0.0066,0.0,0.0,0.0066
01938,0.9505,0.0046,0.0137,0.0009,0.0125,0.0177
01940,0.9329,0.0046,0.0353,0.0004,0.0082,0.0186
01944,0.9644,0.0012,0.008,0.0021,0.0095,0.0148
01945,0.9515,0.0066,0.0101,0.0006,0.0101,0.0211
01949,0.8744,0.0171,0.0225,0.0014,0.0133,0.0713
01950,0.9543,0.0055,0.0112,0.001,0.0113,0.0168
01951,0.9713,0.0023,0.0059,0.0008,0.0104,0.0093
01952,0.9534,0.0042,0.0119,0.0022,0.0128,0.0155
